,Title,Location,Company,Review,Summary
13,Data Scientist (m/f/diverse),Berlin,        RatePAY GmbH,,            As Data Scientist (m/f/diverse) in our Risk Management team you are responsible for developing automated decision systems for fraud prevention. RatePAY is a Berlin-based company that puts its heart...
14,Data Scientist (f/m/x) - Frankfurt am Main,,        COBI.Bike GmbH,,"            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to collaborate closely with the COBI.Bike product..."
15,            Junior Data Scientist (m/w/d) Medical Devices,,        Fresenius Medical Care,,            Schlussendlich arbeiten Sie zusammen mit dem Senior Data Scientist an interessanten Projekten – mit moderner Technologie und AI machen Sie unsere Medizintechnik fit für die Zukunft....
16,            Lead Data Scientist,,        bonify - Made by Forteil GmbH,,"            You have a good understanding of Data Privacy laws & Data Security or are keen to learn very fast about it. Working with our data, this include Data-cleaning, Data-Modelling and Data-processing...."
17,Data Scientist (w/m/d) Industrial IoT,,        Siemens AG,,"            Sie verstärken am Fertigungsstandort in Berlin als Data Scientist Industrial IoT unser Team bei der Umsetzung unserer Digitalisierungsstrategie. Sie besitzen starke Erfahrungen in Technologien, Algorithmen und Methoden zur Datenanalytik,..."
18,            Junior Data Scientist (m/w/d) Medical Devices,,        Fresenius Medical Care,,            Schlussendlich arbeiten Sie zusammen mit dem Senior Data Scientist an interessanten Projekten – mit moderner Technologie und AI machen Sie unsere Medizintechnik fit für die Zukunft. Zukunft lebenswert gestalten:....
19,DATA SCIENTIST (m/f/d),Berlin,        YUNAR by Ambidexter GmbH,,"            A passion to define and implement data infrastructure to retrieve data and operate the models and methods defined by you. Studies in a STEM subject or an equivalent qualification and practical experience in Data Science, Data Analytics or..."
20,Data Scientist,Berlin,        Bosch Gruppe,,"            Praktische Berufserfahrung im Bereich Data Analytics / Big Data, ausgeprägtes Wissen im Bereich multivariater, statistischer Methoden und erste Erfahrung mit Softwareentwicklungs- bzw. Sie sind als Teil unseres I4.0 Data Analytics Teams..."
21,            Developer / Data Scientist (m/f/d) for Machine Learning appl...,Berlin,        Munich Innovation Labs GmbH,,"            Developer / Data Scientist (m/f/d) for Machine Learning applications*. Has an interest in data analysis with state-of-the-art machine learning frameworks (TensorFlow, PyTorch). At Munich Innovation Labs, a specialised team of dedicated..."
22,Data Scientist,Berlin,        Wooga,,"            You are proficient in using Python for data analysis, and you can use SQL effectively to query large volumes of data. The Data Science team explores new methodologies and delves deep into every aspect of our data to identify opportunities..."
23,Data Scientist Pricing (f/m/d),Berlin,        car2go,,            Related Keywords for Data Scientist Pricing (f/m/d):. Experience in visualizing complex data is an asset. You are passionate about data analysis and statistical analysis. Your strengths include effective and efficient working in a dynamic...
24,Data Scientist,Berlin,        Sellics Marketplace Analytics GmbH,,"            Doing data mining using state-of-the-art methods. Processing, cleansing, and verifying the integrity of data used for analysis. As a profitable, global and rapidly expanding SaaS start-up from Berlin, Sellics is revolutionizing commerce on..."
25,Data Scientist Natural Language Processing,Berlin,        VoiXen GmbH,,"            Stellenausschreibung Data Scientist Natural Language Processing (m/w/d). Du hast bereits hinreichend Erfahrung als Data Scientist im Bereich Natural Language Processing gesammelt. Du setzt state-of-the-art Verfahren aus Data Science,..."
26,Data Scientist (w/m/d),Berlin,        SMACC GmbH,,"            You will work with state-of-the art machine learning and statistical models as a full-time data scientist, and deploy NLP/text mining models to production. You will be on the cutting edge of data science, and collaborate closely with other..."
27,Data Scientist,Berlin,        Oviva AG,,Data Scientist (100%)*. Experience with Big Data or other data crunching tools is a plus. You can apply data analysis and visualization techniques to gain insights into data sets at any scale....
28,Data Scientist,Berlin,        softgarden e-recruiting GmbH,,"            3+ years of experience in data analysis and data science. Help consolidate our variaty of data sources. They will also build tools and support structures needed to analyze data, dive deep into data and present findings to stake holders..."
29,            Senior Data Scientist (m/w/d) Medical Devices,,        Fresenius Medical Care,,"            Mindestens zwei Jahre Berufserfahrung in einer anspruchsvollen Data Science Rolle, idealerweise im Kontext von Medizintechnik oder Health Care. Darüber hinaus sind Sie verantwortlich für die fachliche Führung von Junior Data Scientists im..."
30,Data Scientist (f/m/x) - Frankfurt am Main,,        COBI.Bike GmbH,,"            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to collaborate closely with the COBI.Bike product development teams in our Frankfurt office..."
31,Data Scientist (m/w/d),,        etventure GmbH,,"            Mindestens 3 Jahre Berufserfahrung im Bereich Data Science, Advanced Data Analytics, Machine Learning oder Business Intelligence. Planung, Erstellung und Durchführung von Data Science Projekten...."
32,            Senior Data Scientist (w/m/d) – Köln,,        EnBW Energie Baden-Württemberg AG,,            Senior Data Scientist(w/m/d). Dann kommen Sie zu ins „EnBW Data Lab“. Arbeiten mit neusten Technologien und Konzepten im Bereich Big Data Analytics....
33,Data Scientist (f/m/x) - Frankfurt am Main,,        COBI.Bike GmbH,,"            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to..."
34,            Staff scientist (m/f/d) for bioinformatics (NGS ‘long-read’...,,        Universitätsklinikum Düsseldorf,,            Analysis of genomic data. Staff scientist (m/f/d) for bioinformatics (NGS ‘long-read’ technology). Proven experience of analyzing genome-scale data sets in a...
35,Data Scientist (m/w/d),,        Michael Page,,"            Fundierte Kenntnisse im Umgang mit Datenbanken und im Einsatz/Anwendung von Big Data Technologien, wie z.b...."
36,Data Analyst/Scientist (m/w/d),Düsseldorf,        Deutsche Apotheker- und Ärztebank eG,,            Sie gestalten den Neuaufbau einer dynamischen Data Analytics Einheit in der apoBank gemeinsam mit 4 Kollegen (m/w/d)....
37,"Data Scientist (f/m/d) Permanent contract, full-time, Düssel...",Düsseldorf,"        real,- Digital Services GmbH",,"            As a data scientist, you drive the further development of the eFood online shop on the basis of data:. You have knowledge in generating insights from different..."
38,            (Junior) Data Scientist (m/w/d) Fashion,Düsseldorf,        CHECK24 Vergleichsportal,,            Ergebnisorientierte Nutzung von Data Mining Methoden und Algorithmen. Aufbau und Entwicklung von neuen Technologien im Bereich Data Science und Machine Learning...
39,Data Scientist – User Profiling,Düsseldorf,        trivago,,            Are you an intrinsically curious data scientist looking for a position with the freedom to explore some big data?...
40,            (Junior) Data Scientist (m/w/d),Düsseldorf,        CGI,,"            Kenntnisse in Big Data Technologien (z.B. Gute Kenntnisse in der Anwendung von Machine Learning, Optimierungs- und Data Mining-Methoden mit Hilfe von gängigen..."
41,            (Associate) Data Scientist (m/f/d),Düsseldorf,        QIAGEN,,            High confidence in handling structured and unstructured data sources in big data ecosystems (e.g. Experience in data visualization tools (e.g....
42,            Materials Scientist (gn),Düsseldorf,        Japan Management,,"            Maintain detailed, accurate, legible records of all experiments, and graph all relevant trend data along with the appropriate controls and blanks...."
43,Data Scientist (m/w/d),Düsseldorf,        MediaCom Agentur für Media-Beratung GmbH,,            Anwendungserfahrungen in den Bereichen Data Mining und Machine Learning (Python:. WAS DU MITBRINGST....
44,Data Scientist,Düsseldorf,        Flint Data,,Data Science Consultant. Konzipieren und implementieren von Data Pipelines in Zusammenarbeit mit Data Engineers. Erfahrung im Bereich Data Science....
45,Data Scientist (m/w/d),Düsseldorf,        Publicis Media,,"Data und Technology, Analytics und Insights, Research, Content, Performance, Buying und Business Development...."
46,            (Senior) Data Scientist Advanced Analytics (m/w/d) - Neckars...,,        LIDL Stiftung & Co. KG,,"            Du bearbeitest Projekte in interdisziplinären, agilen Teams aus Data Scientists, Data Engineers, Software-Entwicklern und Visualisierungsexperten und..."
47,            Junior Data Scientist (m/w/d) Medical Devices am Standort Be...,,        Fresenius Medical Care,,            Schlussendlich arbeiten Sie zusammen mit dem Senior Data Scientist an interessanten Projekten – mit moderner Technologie und AI machen Sie unsere Medizintechnik...
48,            Staff scientist (m/f/d) for bioinformatics (NGS ‘long-read’...,,        Universitätsklinikum Düsseldorf,,            Analysis of genomic data. Staff scientist (m/f/d) for bioinformatics (NGS ‘long-read’ technology). Proven experience of analyzing genome-scale data sets in a...
49,Data Scientist (f/m/x) - Frankfurt am Main,,        COBI.Bike GmbH,,"            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to..."
50,            Junior Data Scientist (m/w/d) Medical Devices am Standort Be...,,        Fresenius Medical Care,,            Schlussendlich arbeiten Sie zusammen mit dem Senior Data Scientist an interessanten Projekten – mit moderner Technologie und AI machen Sie unsere Medizintechnik...
51,            Junior Data Scientist,Düsseldorf,        ORAYLIS GmbH Business Intelligence,,"            Als Data Scientist entwickelst du in enger Zusammenarbeit mit deinen erfahrenen Kollegen datengetriebene Lösungen, die das Geschäft unserer Kunden voranbringen...."
52,Data Scientist (m/w/d),Duisburg,        PKF FASSELT SCHLAGE,,            Unterstützung unseres Data Lab Teams bei der Konzeption und Realisierung von datenbasierten Algorithmen und Analysetools für unsere Beratungsfelder....
53,Data Scientist (m/w/d),Langenfeld,        Control€xpert GmbH,,            Als Data Scientist entwickelst du Datenmodelle mit modernsten Machine Learning Technologien und nutzt die Fähigkeiten aktueller Künstlicher Intelligenz....
54,Data Scientist (Big Data) (m/w/x),Mülheim an der Ruhr,        ALDI SÜD,,"Data Scientist (Big Data) (m/w/x) (ID:33702). Umsetzung internationaler Projekte im Bereich Analytics, Big Data und Machine Learning...."
55,Data Scientist (m/w/d) – Advanced Analytics,Düsseldorf,        McKinsey & Company,,"Data Scientist (m/w/d) – Advanced Analytics. In interdisziplinären Teams, bestehend aus Beratern, Experten und Data Scientists, bringen Sie Ihre Expertise ein...."
56,Data Scientist Intern - Advanced Analytics,Düsseldorf,        McKinsey & Company,,"            In interdisziplinären Teams, bestehend aus Beratern, Fachexperten und Data Scientists, bringen Sie Ihre Expertise ein...."
57,            Senior Data Scientist / Machine Learning Developer (m/w/d) F...,Düsseldorf,        CHECK24 Vergleichsportal Shopping GmbH,,            Perspektivisch Aufbau und Führung eines Teams von Data Scientists. Verantwortung für den Aufbau und die Weiterentwicklung neuer Technologien im Bereich Data...
58,Data Scientist - Advanced Analytics,Düsseldorf,        McKinsey & Company,,"            In interdisziplinären Teams, bestehend aus Beratern, Fachexperten und Data Scientists, bringen Sie Ihre Expertise ein...."
59,Data Scientist (m/w/d),Duisburg,        PKF Deutschland GmbH,,Data Scientist (m/w/d). Unterstützung unseres Data Lab Teams bei der Konzeption und Realisierung von datenbasierten Algorithmen und Analysetools für unsere...
60,            Senior Data Scientist,Düsseldorf,        Flint Data,,"Data Science Consultant. + 3 Jahre relevante Data Science Berufserfahrung. Um der Firmenphilosophie weiterhin gerecht zu werden, sucht unser Klient für den..."
61,Data Scientist (m/w/d),,        Michael Page,,"            Fundierte Kenntnisse im Umgang mit Datenbanken und im Einsatz/Anwendung von Big Data Technologien, wie z.b...."
62,            (Senior) Data Scientist Advanced Analytics (m/w/d) - Neckars...,,        LIDL Stiftung & Co. KG,,"            Du bearbeitest Projekte in interdisziplinären, agilen Teams aus Data Scientists, Data Engineers, Software-Entwicklern und Visualisierungsexperten und..."
63,            Senior Data Scientist (w/m/d) – Köln,,        EnBW Energie Baden-Württemberg AG,,            Senior Data Scientist(w/m/d). Dann kommen Sie zu ins „EnBW Data Lab“. Arbeiten mit neusten Technologien und Konzepten im Bereich Big Data Analytics....
64,            Senior Data Scientist (m/w/d),,        AKKA TECHNOLOGIES,,            Als Senior Data Scientist sind Sie für die Konzeption und Umsetzung von innovativen Lösungen auf Basis von Analytics und Data Science für unsere Kunden verantwortlich. Sie analysieren komplexe Daten aus unterschiedlichen Quellen unserer...
65,Data Scientist - Automotive (m/w/d),,        NorCom Information Technology GmbH & Co. KGaA,,            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt. Du experimentierst mit neuen Vorgehensweisen und ermöglichst unseren Kunden einen effizienten Umgang mit Big Data –...
66,Data Scientist (m/w/d) - München,,        IUBH Internationale Hochschule GmbH,,"Data Scientist (m/w/d) - München. Du bist Data Scientist aus Leidenschaft und begeisterst Dich für die Fragestellungen unserer Fachbereiche. Du verfügst über ein erfolgreich abgeschlossenes Hochschulstudium in Mathematik, Statistik, Physik,..."
67,            Lead Data Scientist (w/m/d) Machine Learning,,        Siemens AG,,            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw. In dieser Position sind Sie hauptverantwortlich für die konzeptionelle Etablierung einer Vision und Strategie zur...
68,Data Scientist Intern,München,        Bragi,,Data Scientist Intern. We are looking for a Data Scientist Intern with a passion for innovation to join our team. Support and lead data generation by collecting and managing sensor streams....
69,Data Scientist (m/f/d),München,        AWS EMEA SARL (Germany Branch),,            Interested in creating new state-of-the-art solutions using Machine Learning and Data Mining techniques on Terabytes of Data? Strong communication and data presentation skills. Publications or presentation in recognized Machine Learning and...
70,            Junior Data Scientist (F/M/D),München,        Oerlikon,,"            Junior Data Scientist (F/M/D). An enthusiastic Junior Data Scientist (F/M/D). Experience in big data/ data analytics, with a focus on the Hadoop Ecosystem (Hortonworks) and scale-out systems, statistics, data mining and machine learning as..."
71,            Junior Data Scientist (m/f),München,        Octimine Technologies,,"            Challenging data projects with patent, science & company data – structured and unstructured. Use of deep learning algorithms to improve our data quality. Practical or theoretical experience with various big data technologies such as Hadoop,..."
72,            (Junior) Data Scientist (M/W/D),München,        thaltegos,,"            (JUNIOR) DATA SCIENTIST (M/W/D). Praktische Erfahrung im Bereich Data Science,. Die thaltegos GmbH verbindet strategische Analysefähigkeit mit datengetriebener Managementberatung...."
73,Data Scientist (m/f/x),München,        XING Events GmbH,,"            Solve challenging problems in the context of real-time processing, machine learning, Big Data, distributed systems. Write code for processing and analyzing large amounts of data and help designing new services and products...."
74,Data Scientist (m/f/d) Digital Health Services in Allianz Di...,München,        Allianz SE (global headquarters),,"            Extensive working experience as a data scientist. As a data scientist you will be responsible for analyzing complex data sets, developing machine learning models and implementing prototypes...."
75,Data Scientist (m/f/d) - Deep Learning Specialist,München,        E.ON,,"            Therefore, we're looking for an experienced data scientist, understanding to make data as a core value for todays and future business by delivering advanced data analytical insights. Working experience as a data scientist with a deep..."
76,            Junior Data Scientist Machine Learning / Natural Language Pr...,München,        FINLYTICS,,            Was dich im Rahmen deiner Aufgaben bei uns erwartet Du arbeitest dich in Problemstellungen aus dem Bereich FinTech ein und erarbeitest Lösungen auf Basis eines reichhaltigen Datensatzes – u.a. mit Hilfe von Natural Language Processing Du...
77,            Graduate Data Scientist - Germany (Munich),München,        Amazon Web Services Germany Gm,,"            Experience giving data presentations. Working with our Professional Services Data Science, Big Data and DevOps consultants to build and optimize machine learning flows. Familiarity with using data visualization tools...."
78,Data Scientist - Text Mining (m/w/d),,        NorCom Information Technology GmbH & Co. KGaA,,            Du implementierst Prototypen und setzt diese in Big Data Pipelines auf großen Daten produktiv. Du konzipierst neuartige Datenanalysen für Real-World-Problems und setzt diese auf Basis neuester Technologien um....
79,            (Senior) Data Scientist / Data Mining Consultant mit Fokus A...,,        metafinanz Informationssysteme GmbH,,"            (Senior) Data Scientist / Data Mining Consultant mit Fokus Advanced Analytics (w/m/d). Mindestens 2 Jahre Berufserfahrung in den Bereichen Data Science / Data Mining sowie geeignete Projekterfahrung in den Bereichen ETL-, Data Warehouse-..."
80,Data Scientist (m/w/d) - München,,        IUBH Internationale Hochschule GmbH,,Data Scientist (m/w/d) - München. Du bist Data Scientist aus Leidenschaft und begeisterst Dich für die Fragestellungen unserer Fachbereiche....
81,Data Scientist - Automotive (m/w/d),,        NorCom Information Technology GmbH & Co. KGaA,,            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt....
82,            (Senior) Data Scientist / Data Mining Consultant mit Fokus A...,,        metafinanz Informationssysteme GmbH,,            (Senior) Data Scientist / Data Mining Consultant mit Fokus Advanced Analytics (w/m/d). Mindestens 2 Jahre Berufserfahrung in den Bereichen Data Science / Data...
83,Data Scientist / Machine Learning,München,        Acanthos Ventures GmbH,,            Support developing and optimizing data warehouses. Leverage data to gain insights in terms of trends and user behaviour for different international clients....
84,Data Scientist (m/w/d),München,        jambit GmbH,,Data Scientist (m/w/d)*. Wir wachsen weiter und suchen deshalb fortlaufend:....
85,Data Scientist (m/w/d),München,        finconomy AG,,"Data Scientist (m/w/d). Praktische Erfahrung mit Python ML und KI Ökosystem, ETL und Data Engineering sowie strukturierten und unstrukturierten Datenbanken...."
86,Data Scientist (m/w/d),München,        SWMH Service GmbH,,Data Scientist (m/w/d). Breite Erfahrung mit prinzipiellen Data Science Fragestellungen:. Du kannst komplexe Data Science Sachverhalte verständlich beschreiben....
87,            (Lead) Data Scientist (m/f/d),München,        Fineway GmbH,,"            Excellent knowledge & experience in data modelling, data representation, data visualization & (No)SQL databases...."
88,Data Scientist (m/w/d),München,        iPAXX,,"            Entwicklung von Big Data ETL pipelines auf Basis gängiger open source Frameworks (Hadoop, Hive, Python, Spark)...."
89,Data Scientist (m/w/d),München,        Modis Contracting Solutions GmbH,,Data Scientist (m/w/d). Erfahrung als Data Scientist (m/w/d) in verschiedenen Projekten. Für unseren Kunden in München suchen wir ab Mai 2019 bis Ende 2019...
90,Data Scientist (m/w/d) - München,München,        IUBH Internationale Hochschule GmbH,,            Du bist Data Scientist aus Leidenschaft und begeisterst Dich für die Fragestellungen unserer Fachbereiche....
91,Data Scientist (w/m/d),München,        E.ON Energie Deutschland,,            Die Herausforderung Du analysierst Daten und suchst nach Verbesserungspotentialen in unseren Vertriebs- und Marketingaktivitäten Dafür zeigst Du...
92,            Battery Data Scientist (w/m/d),Garching bei München,        TÜV SÜD Battery Testing,,            - Aufbau von Lithium-Ionen-Batteriemodellen - Parametrierung und Prüfung entwickelter Batteriemodelle anhand von Messungen/Daten - Aufbereitung und...
93,            Lead Data Scientist (w/m/d) Machine Learning,,        Siemens AG,,            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw....
94,Data Scientist - Text Mining (m/w/d),,        NorCom Information Technology GmbH & Co. KGaA,,            Du implementierst Prototypen und setzt diese in Big Data Pipelines auf großen Daten produktiv. Du konzipierst neuartige Datenanalysen für Real-World-Problems...
95,            Senior Data Scientist (m/w/d),,        AKKA TECHNOLOGIES,,            Als Senior Data Scientist sind Sie für die Konzeption und Umsetzung von innovativen Lösungen auf Basis von Analytics und Data Science für unsere Kunden...
96,            Senior Data Scientist (w/m/d) – Köln,,        EnBW Energie Baden-Württemberg AG,,            Senior Data Scientist(w/m/d). Dann kommen Sie zu ins „EnBW Data Lab“. Arbeiten mit neusten Technologien und Konzepten im Bereich Big Data Analytics....
97,Data Scientist (f/m/x) - Frankfurt am Main,,        COBI.Bike GmbH,,"            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to..."
98,            (Senior) Data Scientist Advanced Analytics (m/w/d) - Neckars...,,        LIDL Stiftung & Co. KG,,"            Du bearbeitest Projekte in interdisziplinären, agilen Teams aus Data Scientists, Data Engineers, Software-Entwicklern und Visualisierungsexperten und..."
99,"            Biologist, Chemist as (Senior) Scientist - Assay Development...",,        AYOXXA Biosystems GmbH,,"            (Senior) Scientist Assay Development. Good knowledge of data analysis and interpretation tools (e.g. Analysis of experimental data, documentation and reporting..."
100,Data Scientist / Data Analyst (m/w/d),Köln,        REWE Digital,,            Masterstudium mit Data Science/Analytics-Bezug (z.B. Einschlägige Berufserfahrung im Bereich Data Science/Advanced Analytics....
101,Data Scientist (m/w/d),Köln,        Gothaer Konzern,,            Mitwirkung an der Weiterentwicklung eines „analytischen Data Marts“. Konzeption komplexer Datenanalysen und Entwicklung prognostischer Modelle auf der Basis...
102,Data Scientist (m/f),Köln,        SALOODO! GMBH,,            We are looking for an experienced Data Scientist to join our rapidly growing dynamic Data & AI team and help us building the future of digital logistics....
103,Data Scientist (m/w/d),Köln,        Gothaer,,            Mitwirkung an der Weiterentwicklung eines „analytischen Data Marts“. Konzeption komplexer Datenanalysen und Entwicklung prognostischer Modelle auf der Basis...
104,            (Junior / Senior) Data Scientist (m/w/d),Köln,        Konzernzentrale,,"Data Scientist (m/w/d). Je nach Ihrer bisherigen Erfahrung steigen Sie bei uns als Senior Data Scientist ein und bringen Ihre Kenntnisse ein, um unsere Junior..."
105,DATA SCIENTIST (M/F/X),Bonn,        Deutsche Post,,"DATA SCIENTIST (M/F/X). As an experienced Data Scientist in the Deutsche Post DHL Group, you will work with our operative departments to solve concrete business..."
106,            (Junior) Data Scientist - Informatiker / Physiker / Mathemat...,Köln,        AXA,,            (Junior) Data Scientist - Informatiker / Physiker / Mathematiker (m/w/d) für unser Data Innovation Lab ( 190004R2 )....
107,            9/2019 Data Scientist (m/w/d),Köln,        Central,,            Dann bewerben Sie sich als Data Scientist (w/m/d) bei der Central Krankenversicherung AG. Die Abteilung Unternehmenscontrolling (UC) sucht für die Gruppe...
108,Data Scientist w/m/d,Köln,        Bechtle GmbH & Co. KG IT-Systemhaus Bonn/Köln,,"            Interdisziplinäre Zusammenarbeit mit Data Scientists, Solution Architects, Software-Entwicklern und Visualisierungsexperten. DAS IST IHR JOB...."
109,            Big Data Engineer / Scientist (m/w),Köln,        Qimia GmbH,,            Big Data Storage:. Big Data Science Entwicklung:. Entwicklung von Big Data Analytics Anwendung. Konzeption und Realisierung von Big Data Lösungen....
110,            Junior Data Scientist (m/w/d) Medical Devices am Standort Be...,,        Fresenius Medical Care,,            Schlussendlich arbeiten Sie zusammen mit dem Senior Data Scientist an interessanten Projekten – mit moderner Technologie und AI machen Sie unsere Medizintechnik...
111,"            Biologist, Chemist as (Senior) Scientist - Assay Development...",,        AYOXXA Biosystems GmbH,,"            (Senior) Scientist Assay Development. Good knowledge of data analysis and interpretation tools (e.g. Analysis of experimental data, documentation and reporting..."
112,Data Scientist (f/m/x) - Frankfurt am Main,,        COBI.Bike GmbH,,"            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to..."
113,            Junior Data Scientist (m/w/d) Medical Devices am Standort Be...,,        Fresenius Medical Care,,            Schlussendlich arbeiten Sie zusammen mit dem Senior Data Scientist an interessanten Projekten – mit moderner Technologie und AI machen Sie unsere Medizintechnik...
114,Data Scientist (m/f/d),Siegburg,        Siegwerk,,"Data Scientist (m/f/d). As a member of our data science team, you will help in providing the infrastructure and expertise needed to collect and process Big Data..."
115,Data Scientist (m/w/d),Langenfeld,        Control€xpert GmbH,,            Als Data Scientist entwickelst du Datenmodelle mit modernsten Machine Learning Technologien und nutzt die Fähigkeiten aktueller Künstlicher Intelligenz....
116,            Werkstudent w/m/d Data Scientist,Köln,        Bechtle GmbH & Co. KG IT-Systemhaus Bonn/Köln,,"            Interdisziplinäre Zusammenarbeit mit Data Scientists, Solution Architects, Software-Entwicklern und Visualisierungsexperten. DAS IST IHR JOB...."
117,            SENIOR DATA SCIENTIST - MACHINE LEARNING (M/F/X),Bonn,        Deutsche Post,,            SENIOR DATA SCIENTIST (M/F) - MACHINE LEARNING. Experience with the following Big Data technologies is a plus:....
118,            Senior Data Scientist (w/m/d),Köln,        EnBW Energie Baden-Württemberg AG,,            Senior Data Scientist (w/m/d). Dann kommen Sie zu ins „EnBW Data Lab“. Arbeiten mit neusten Technologien und Konzepten im Bereich Big Data Analytics....
119,Data Scientist / BI Entwickler (m/w/d),Köln,        GastroHero GmbH,,            DEINE AUFGABENFELDER: In Deiner Rolle bist Du für die Aufbereitung und Analyse unserer Shop- und Prozessdaten sowie für die Generierung von KPIs zuständig. Du...
120,            Life Scientist as Project Management Officer (Project Coordi...,Bergisch Gladbach,        Miltenyi Biotec,,"            Practical Experiences in Data Management and Reporting structures e.g. with MS-Excel, Business Objects or other BI/database Tools are an advantage...."
121,            PhD Student (Epidemiologist / Data Scientist) f/m/d: Nutriti...,Bonn,        Deutsches Zentrum für Neurodegenerative Erkrankung...,,"            PhD Student (Epidemiologist / Data Scientist) f/m/d:. In our research we integrate data from dietary assessments, neuroimaging, multi-omics ((epi-)genomics,..."
122,Data Scientist mit Schwerpunkt Interaktive Analysen,Sankt Augustin,        Fraunhofer-Institut für Intelligente Analyse- und...,,"            Im Geschäftsfeld Big Data Analytics forschen Sie an hochaktuellen Herausforderungen in den Themen künstliche Intelligenz, maschinelles Lernen und Big Data;..."
123,            Postdoctoral Epidemiologist / Data Scientist (f/m/d): Nutrit...,Bonn,        Deutsches Zentrum für Neurodegenerative Erkrankung...,,            Postdoctoral Epidemiologist / Data Scientist (f/m/d):. Within the area of Population Health Sciences in Bonn we are looking for a Postdoctoral Epidemiologist /...
124,            Senior Data Scientist (m/w/d),,        Michael Page,,            Aufgabengebiet * Entwicklung von mathematischen Modellen für Datenanalysen * Anfertigen von Scoring-Modellen * Erarbeiten verschiedener Konzepte für...
125,            (Senior) Data Scientist Advanced Analytics (m/w/d) - Neckars...,,        LIDL Stiftung & Co. KG,,"            Du bearbeitest Projekte in interdisziplinären, agilen Teams aus Data Scientists, Data Engineers, Software-Entwicklern und Visualisierungsexperten und..."
