Country,State,City,Name,Category,Description,Website
China,,Beijing,Yanzhuanji,Healthcare,Eye experts committed to providing medical institutions at home and abroad technology-leading integrated clinical diagnosis and treatment of ophthalmic solutions,http://www.yanzhuanjia.cn
China,,Chaoyang District,Future Wise,Healthcare,,http://myq.y909.com
China,,Haidian District,A-Eye,Healthcare,Beijing Athena Eyes Science & Technology Co.; Ltd. is a private company offering biometrics technology and services.’_,http://www.a-eye.cn
China,,Haidian District,Alpha-Bric,Healthcare,,http://www.alpha-brick.com/
China,,Haidian District,Genowis,Healthcare,,http://www.genowis.com/
China,,Haidian District,Lohas-tech,Healthcare,,http://www.lohas-tech.com.cn/
China,,Haidian District,Musk,Healthcare,,http://www.musk.cn
China,,Hangzhou,Witspring,Healthcare,,http://www.witspring.com
China,,Hongkou District,QUALAB,Healthcare,,http://www.china-qlab.com
China,,Jiading District,Sitrigroup,Healthcare,,http://www.sitrigroup.com/?lang=zh-hans
China,,Pudong New Area,Synyi,Healthcare,,http://www.synyi.com
China,,Pudong New Area,Tmirob,Healthcare,,http://www.tmirob.com/
China,,Shanghai,DianneiDNA,Healthcare,DianneiDNA’_ is a precision medicine company that has developed an artificial intelligence-powered diagnostic software platform to intelligently screen for lung cancer.,http://www.dianneidna.com
China,,Shenyang,Neusoft,Healthcare,,http://www.neusoft.com
China,,Shenzhen,EEGSmart,Healthcare,,http://www.eegsmart.com/
China,,Shenzhen,Imsight Medical Technology,Healthcare,Imsight Medical (Îè_’_Îè_,http://www.imsightmed.com/
China,,Xi'an,Wingspan,Healthcare,,http://www.wingspan.cn
China,,Xuhui District,Tcxy,Healthcare,We are committed to creating products and platforms for smart home health management; providing easy and intelligent service to all types of users.,http://www.tcxy.com.cn
Finland,,Espoo,Kirontech,Healthcare,,www.kirontech.com
Finland,,Helsinki,AlvinOne,Healthcare,,http://www.alvinone.com/
France,,Grenoble,Pixyl Medical’_,Healthcare,,http://pixylmedical.com/
France,,Paris,Bioserenity’_,Healthcare,,http://bioserenity.com/en/
France,,Paris,Cardiologs’_,Healthcare,,https://cardiologs.com/
France,,Paris,DreamUp Vision,Healthcare,DreamUp Vision has developed a cognitive learning engine which relies on deep-learning technologies. This engine is a powerful tool in the image analysis and the detection of the disorders. Its technology detects the stages of retinopathy with the performances of the professional ophthalmologists in milliseconds. This engine can be implemented both the online web-application as mobile application; or integrated directly into fundus camera. The retinal photo can be provided from any fundus camera. It can be analyzed online from any location; including from the retinopathy telemedicine centers existing in some countries. In these centers; the patients can take an appointment in order to have a retina photo taken by nurses or orthoptists. These photos are then sent to professional ophthalmologists in order to be analyzed. The company's solution could analyze the image directly at the center and thus to palliate to the leakage of ophthalmologists.,http://www.dreamupvision.com
France,,Paris,Inato,Healthcare,Inato helps life science companies accelerate recruitment in their clinical trials by making data-informed decisions.,https://inato.com/
France,,Paris,Qynapse’_,Healthcare,,http://www.qynapse.com/
France,,Rennes,VitaDX International,Healthcare,VitaDX International is a biotechnology company that is developing a medical software solution for the early diagnosis of bladder cancer using fluorescence imaging and machine learning.,http://www.vitadx.com
France,,Toulouse,Dexstr’_,Healthcare,DEXSTR is an innovative software company founded by bioinformatics experts experienced working in major pharmaceutical groups. In the course of their careers; the team realized just how much time laboratories spent trying to manage their unstructured data; and so they decided to come up with a solution.,https://www.dexstr.io/
France,,Velizy-Villacoublay,CARMAT,Healthcare,,https://www.carmatsa.com/en/
Germany,,Berlin,Ada,Healthcare,,https://ada.com/
Germany,,Berlin,Caspar Health,Healthcare,,https://www.caspar-health.com/
Germany,,Berlin,Xbird,Healthcare,,http://www.xbird.io
Germany,,Hameln,Healthcare X.0,Healthcare,,http://www.healthcare-xnull.com/
Germany,,Munich,kaia health,Healthcare,,https://www.kaia-health.com/
Hungary,,Budapest,HandInScan,Healthcare,,http://www.handinscan.com/
India,Karnataka,Bangalore,elth.ai,Healthcare,elth.ai The future of health care is here.,elth.ai
India,,Bengaluru,Niramai Health Analytix,Healthcare,Niramai Health Analytix is developing a novel breast cancer screening solution that uses Thermalytix; i.e. machine intelligence over thermography images. The cloud-hosted analytics solution uses big data analytics; artificial intelligence; and machine learning algorithms for early and accurate breast cancer screening.,http://www.niramai.com
India,,Bengaluru,SigTuple,Healthcare,SigTuple provides healthcare solutions by analyzing blood samples and detecting different diseases using technology-powered tools. The company has currently built a technology-powered product called Shonit; which automatically analyzes images of blood captured through a microscope. Shonit comprises a microscope; a cellphone app; and a cloud-powered engine for analysis and reporting.,http://www.sigtuple.com
India,,Chandigarh,Advenio TecnoSys,Healthcare,Advenio TecnoSys was founded with a vision to provide artificial intelligence; deep learning and machine learning based computer assisted detection (CADx) for diagnostic clinical imaging.’_,http://www.adveniotecnosys.com
India,,Maharashtra,RX Health,Healthcare,RX Health is a Health Informatics Company based in Pune; India that is catering system software in the field of computer-aided prognosis. The technology uses artificial intelligence solutions that recognize accurate and honest medical diagnosis support.,http://www.rxhealth.co
Ireland,,Dublin,Nuritas,Healthcare,Nuritas is a bioinformatics technology company specializing in the discovery of peptides (chains of amino acids) with functional health or therapeutical benefits in nutrition and cosmetics. Typical applications might include their use in foods which could help regulate sugar or fat delivery in the body; or a face cream that helps collagen regeneration to visibly reduce aging. Peptides are entirely natural and life changing ingredients.,http://www.nuritas.com
Ireland,,Limerick,Teckro,Healthcare,Teckro uses information retrieval and machine-learning technologies to improve the speed and accuracy of clinical trials. The Company partners with pharma and biotech companies to simplify the clinical development process; a major bottleneck in bringing effective and safe drugs to the market.,http://www.teckro.com
Israel,HaMerkaz,Kfar Malal,Medial EarlySign,Healthcare,Medial EarlySign develops an AI algorithmic platform for the discovery of clinical insights that indicate the likelihood of disease from basic medical information; such as blood test results; and other EMR data. Called AlgoMarkers; its predictive engines are built in collaboration with healthcare organizations; through the combination of 10s of millions of patient years-worth of data; clinical rigor and some of the most brilliant algorithmic minds. The company develops clinical decision support and population health solutions that can assist in the early prediction of clinical outcomes related to cancers; metabolic; immune and infectious diseases. These tools are designed to place at the fingertips of healthcare organizations only those insights that could prove critical in disease management and prevention empowering them with proactive; predictive and personalized care management capabilities,http://www.earlysign.com
Israel,HaMerkaz,Shefayim,Zebra Medical Vision Ltd,Healthcare,Zebra Medical Vision is building a medical imaging insights platform. The company provides a platform that offers a cloud-based; fully hosted research and development environment including access to large datasets of structured; de-identified studies; storage; GPU computing power and support for a multitude of research tools. The solution also enables research groups to collaborate and create joint tools.,http://www.zebra-med.com
Israel,Hefa,Haifa,Healthy Mize,Healthcare,HEALTHYMIZE provides personalized speech monitoring based on analysis of patients' voice and breathing during regular voice calls.,http://healthymize.com
Israel,Tel Aviv,Tel Aviv,Aidoc,Healthcare,Deep Learning startup in the radiology space; augmenting the radiologist workflow by detecting & highlighting findings in medical images,http://www.aidoc.com
Israel,Tel Aviv,Tel Aviv,BeaconCure,Healthcare,,https://www.beaconcure.com
Israel,Tel Aviv,Tel Aviv,Bio Eye,Healthcare,,https://www.bioeye.com
Israel,Tel Aviv,Tel Aviv,Emedgene,Healthcare,Next generation genetic interpretation platform that pinpoints causative mutations so genetic medicine can be provided at the point of care,http://www.emedgene.com
Israel,Yerushalayim,Jerusalem,camereyes,Healthcare,,http://camereyes.com
Israel,,Haifa,Perlis,Healthcare,,http://www.perlis-aal.com
Israel,,Herzeliya,Intendu,Healthcare,Intendu is an Israeli startup developing a technology to improve cognitive rehabilitation of people with brain dysfunction. The solution provides brain training through adaptive video games that involve physical activity; including games that target training of cognitive functions such as multi-tasking; memory; inhibition; self-initiation and more. Intendu's neuro-cognitive engine constantly monitors a player's activity and performance as they engage and interact in video games through natural body gestures. Based on a player's performance and bio-feedback; the games' challenges dynamically adapt to optimize stimulation of a patient's brain and help them achieve rehabilitation goals. Intendu's data collection turns rehabilitation into science to create the most effective impact on patients. The platform can be used for ongoing training of people with brain disorders at both a clinic and at home.,http://www.intendu.com
Israel,,Herzliya,GetAlert,Healthcare,,https://www.getalert.com
Israel,,’_HaZafon,kytera,Healthcare,,http://www.kyteratech.com
Israel,,Jerusalem,OrCam Technologies,Healthcare,OrCam Technologies has developed a computer vision device that includes a miniature video camera and processing unit that can be attached to eyeglasses. Through a computer vision algorithm; the device is able to vocalize texts it encounters; such as street signs; a restaurant menu; a newspaper; or a book; to those with vision problems. It can identify supermarket products and distinguish different denominations of bills. The identification is communicated to the user verbally with almost Nodelay from the moment the information is requested by pointing. It can be clipped to a belt or placed into a pocket; and it needs to be kept charged.,http://www.orcam.com
Israel,,Or Yehuda,Video Therapy,Healthcare,,https://videotherapy.co/vt/home.php#head
Israel,,Petach Tikva,SignNBuy,Healthcare,Sign'Buy develops a handwritten signature recognition technology that is based on a dynamic biometric analysis of human finger traits (eg. direction; pressure; speed; etc.). Using a smartphone screen as an input device; users can sign by drawing signature movements; a process that Sign'Buy refers to as a Finger Signature (FS). Sign'Buy's FS product aims to become the preferred biometric authentication solution for various platforms including personnel internet-based systems; banking processes; and IoT access control.,http://www.sig-n-buy.com
Israel,,Petah Tikva,DreaMed Diabetes,Healthcare,DreaMed Diabetes develops health solutions and decision support tools using algorithms for the optimization of intensive insulin therapy for the benefit of people with Type 1 and Type 2 diabetes. The company's first product; GlucoSitter; was developed for closed-loop insulin therapy and was licensed to Medtronic. The company's latest product; Advisor; its decision support technology platform for determining the optimal patient-specific insulin treatment plans leading to balanced glucose levels in people with diabetes. The system uses event-driven machine learning and logic technology in order to process multiple personalized parameters; such as insulin delivery data; glucose readings; meal data and more into an informed and optimized insulin dosing treatment plan.,http://www.dreamed-diabetes.com
Israel,,Ra'anana,MedAware,Healthcare,MedAware harnesses patterns from thousands of physicians treating millions of patients to identify and alert on prescription errors in real-time. The company's self-learning; self-adaptive system has proven to dramatically reduce healthcare costs while improving patient safety; outcomes; and experience.’_ MedAware's flagship product is the first in a suite of decision support solutions that transform real physician practice data into actionable clinical knowledge.,http://www.medaware.com
Israel,,Ramat Gan,Medasense,Healthcare,Medasense; founded in 2008; is a medical device company that has developed a patented; non-invasive platform technology enabling objective assessment of pain in sedated and in conscious patients. The Medasense technology uses a finger-mounted probe to collect information that monitors changes in physiological parameters affected by pain and by analgesic medications. Proprietary artificial intelligence algorithms convert the physiological data to a real-time Pain Index. The information generated by the Medasense Pain index enables clinicians to improve patient management by properly and timely adjusting pain medications and minimizing adverse events. The technology is implemented in standalone devices or can be embedded in third-party patient monitoring systems.,http://www.medasense.com
Israel,,Rishon Lezion,FST Biometrics,Healthcare,FST Biometrics provides In Motion Identification (IMID) solution which combines facial recognition and behavioral analytics to enable authorized individuals to be identified at a distance while in-motion. The product has a wide range of global applications across the public and private sectors and is already serving clients within the corporate; retail; financial services; telecommunications; residential and governmental sectors.,http://www.fstbm.com
Israel,,Tel Aviv,Aug-Mental,Healthcare,Aug-Mental uses data from wearable and mobile devices combined with deep learning algorithms to provide early warning of the onset of depressive episodes.,http://www.aug-mental.com
Israel,,Tel Aviv,CytoReason,Healthcare,,http://www.cytoreason.com
Israel,,Tel Aviv,diagnostics.ai,Healthcare,,diagnostics.ai
Israel,,Tel Aviv,Genoox,Healthcare,,https://www.genoox.com
Israel,,Tel Aviv,LifeGraph,Healthcare,Lifegraph extracts behavioral patterns from data passively collected from the patient's smartphone. Continuous monitoring and advanced machine-learning algorithms enable the detection of early signs of clinically significant mental disorder episodes. The patient's day-to-day behavior and an alert log are presented in an intuitive dashboard to the care provider and caregiver. This novel solution provides insights that aid clinical decisions; facilitate drug dosage optimization and improve treatment quality. Lifegraph's platform is already working and being used by leading psychiatrists in Israel's top hospitals.,http://www.lifegraph.net
Israel,,Tel Aviv,MedyMatch Technology,Healthcare,MedyMatch uses big data and artificial intelligence to predict strokes. The company scans CT photos of patents; and compares them with hundreds of thousands of CT results from other patients. The company's technology enables it to spot almost any deviation from the norm in a CT scan. The company claims that in certain cases; its ability to detect irregular data is likely to outperform doctors' observations. MedyMatch's system also presents its findings on 3D brain pictures; thereby enabling the doctor to make better-informed decisions. The company system is based on the cloud; and allows doctors to feed in pictures from any location.,http://www.medymatch.com
Israel,,Tel Aviv,MyndYou,Healthcare,MyndYou optimizes the delivery of care for seniors living with mild and ongoing cognitive impairment. The MyndYou artificial intelligence (AI) platform aids clinicians in tracking and addressing cognitive-related disease; such as Dementia and Alzheimer's.’_ MyndYou combines one-on-one remote interaction with a seamless monitoring app; analytic evaluation; and artificial intelligence (AI) analysis to individualize care based on definitive and objective data.’_ MyndYou delivers actionable insights in real time to therapists and clinicians.,http://www.myndyou.com
Israel,,Tel Aviv,Transmit Security,Healthcare,Transmit Security makes biometric authentication simple by connecting users’ç applications to authenticators like face/eye/voice recognition; fingerprint; and OTP. They can perform trusted device binding; primary authentication; secondary authentication and respond to security risks immediately.’_,www.transmitsecurity.com
Israel,,Tel-Aviv’_,Taliz Diagnostics,Healthcare,Taliaz has developed Predictix; a highly-accurate decision support tool; that can help clinicians find their patients the right treatment sooner.’_,https://www.taliazhealth.com
Israel,,Yerushalayim,orcam,Healthcare,,https://www.orcam.com/en/
Israel,,Yerushalayim,Pepticom,Healthcare,,http://www.pepticom.com
Israel,,,2bPrecise,Healthcare,,https://2bprecisehealth.com
Israel,,,ContinUse,Healthcare,ContinUse Biometrics develops remote and unified biometric sensor and platform for eHealth; Internet of Things; mobile & consumer devices. It is based on remote; contactless; active and continuous biometrics scanning. The system actively and continuously measures biomedical parameters; providing authentication and bio-competence information of individuals. The sensing platform is capable of measuring various bio parameters simultaneously for authentication; health and wellness monitoring.,http://www.cu-bx.com
Israel,,,Medorion,Healthcare,,https://www.medorion.com
Israel,,,Neura,Healthcare,,https://www.theneura.com
Israel,,,NEURA,Healthcare,,https://www.theneura.com
Israel,,,RadLogics,Healthcare,,http://radlogics.com
Israel,,,Saffride,Healthcare,We’çve rebuilt medical transportation to reduce patient risk and streamline care coordination.,https://www.saferidehealth.com
Israel,,,SmartMetric,Healthcare,SmartMetric; Inc. is a technology engineering; research and development company that has developed miniture electronic systems and software for use in the field of Biometric identification and validation for the payments industry as well as the Corporate and Government sectors,http://www.smartmetric.com
Israel,,,sweetch,Healthcare,,http://sweetch.com
Japan,,Tokyo,Curon,Healthcare,,https://curon.co/
Japan,,Tokyo,Dentry,Healthcare,,https://medical-reserve.co.jp/dentry/
Japan,,Tokyo,Holoeyes,Healthcare,,http://holoeyes.jp/
Latvia,,Riga,XOresearch,Healthcare,,https://www.xoresearch.com/#/home
Netherlands,,Amsterdam,X2AI,Healthcare,,https://x2.ai
Pakistan,Punjab,Lahore,MedMee,Healthcare,Digitizing the healthcare industry and reducing medical & medication errors to a minimal via incorporation of Augmented Intelligence & Cloud,’_http://medmee.org/
Pakistan,,Rawalpindi,Neurostic,Healthcare,Neurostic aims to help doctors diagnose movement disorders by providing them with a decision support algorithm. Neurostic is a diagnostic tool for movement disorders using state of the art wearables and artificial intelligence.,http://www.neurostic.com
Poland,,Poznan,Aisens,Healthcare,Aisens develops smart sensors for athletes that use artificial intelligence for telerehabilitation.,http://www.aisens.co
Poland,,Warsaw,Inteliclinic,Healthcare,Inteliclinic is an engineering studio specializing in artificial intelligence technologies and biological signal processing systems; such as the Neuroon; which is a wearable mask that combines advanced brain wave and pulse measurement technology with a sleeping mask. The company provides comprehensive technological solutions and creates intelligent devices.,http://www.inteliclinic.com
Poland,,Wroclaw,Infermedica,Healthcare,,http://infermedica.com/
Russia,,Moscow,Semanik Khab,Healthcare,Semantik Khab offers a service to assess the potential effectiveness of drugs using artificial intelligence.,http://www.semantichub.com
Russia,,Moscow,TeleMD,Healthcare,TeleMD uses artificial intelligence (AI) for cancer diagnostics and prognostication.,http://www.tele.md
Singapore,Asia,Singapore,Biofourmis Pte. Ltd.,Healthcare,We personalise healthcare and empower people with tools to make healthcare and lifestyle data actionable and understandable.,’_https://www.biofourmis.com/
Singapore,,Singapore,Healint,Healthcare,Healint is a behavior analytics platform that helps patients and their families make healthcare decisions.,http://www.healint.com
South Korea,Seoul-t'ukpyolsi,Seoul,Standigm,Healthcare,Standigm is an artificial intelligence and systems biology-based startup that aims to expedite the drug discovery process and contribute to human health. Standigm is developing a computer modeling technology that will learn vast amounts of medical and biological information and predict the action mechanism of pharmaceutics in advance. Such a technology can improve the pharmaceutical development process by tailoring the application of previous know-hows; come up with possible combinations of pharmaceuticals; and optimize the selection of candidates and participants for clinical trials.,http://www.standigm.com
South Korea,,Seoul,JLK INSPECTION,Healthcare,AI medical software,http://www.jlk-inspection.com/
South Korea,,Seoul,Lunit,Healthcare,Lunit’_’_Î_s mission is to transform medical diagnostics to the next level by using artificial intelligence. In its first project; Lunit solves the problems in breast cancer diagnosis by providing the most accurate and reliable AI for digital mammography as well as biopsy; so doctors can make a better diagnosis and the payers can save unnecessary costs by reducing false positives. Lunit's high-level of technology had been well demonstrated by presenting scientific abstracts at RSNA; the most prestigious conference in radiology; and by winning the largest competition in digital pathology as well; ahead of IBM and Microsoft.,http://www.lunit.io
South Korea,,Seoul,Vuno,Healthcare,Vuno develops machine learning technology that analyzes patient imaging data and compares it to a lexicon of processed medical data; allowing doctors to quickly assess a patient's condition and make better decisions. The company has developed a proprietary deep learning engine; VunoNet; for efficient processing and analysis of medical data as well as the Vuno I/O; a physician friendly; AI-assisted medical data annotation platform.,http://www.vuno.co
Spain,,Bilbao,Nire iHealth,Healthcare,,http://nire.co
Spain,,Madrid,MedicSen,Healthcare,,http://medicsen.net/en/
Spain,,Madrid,Nuubo,Healthcare,,http://nuubo.com/?q=en
Sweden,,Gothenburg,Smart Healthcare,Healthcare,Smart Healthcare; founded in 2014; with providing a computational platform for early cancer diagnosis and targeted treatment as its main area of focus. SHC develops a deep learning algorithm which determines in minutes what could take months of try and error.,http://www.smarthealthcare.se
Sweden,,Kalmar,AIMO,Healthcare,AIMO; fka LifeSymb; combines 3D body scans with AI to give users automatic diagnosis and recommendations in form of exercises and tips.,http://www.aimo-health.com
Sweden,,Malmo,Lytics,Healthcare,,http://lytics.ai/
Sweden,,Malmo,Lytics,Healthcare,Lytics is an artificial intelligence company serving the healthcare community in solving complex medical and clinical issues with point solutions.,http://www.lytics.ai
Sweden,,Stockholm,Aifloo,Healthcare,Develops a nonintrusive e-health system; based on Artificial Intelligence; which increases security and enables elderly to live longer in their homes.,http://www.aifloo.com
Sweden,,Stockholm,ContextVision,Healthcare,,http://www.contextvision.com/
Sweden,,Stockholm,Gleechi,Healthcare,Gleechi has developed the first software to create precise hand interaction in real-time.,http://gleechi.com/
Sweden,,Stockholm,HealthiHabits,Healthcare,A digital people-to-people platform to discover healthy behaviors & sustainable behavior changes.,http://www.healthihabits.co
Sweden,,Stockholm,Lexplore,Healthcare,New method for early; rapid and reliable detection of neurological disabilities and diseases such as Dyslexia; Parkinson; Alzheimer etc.,http://www.optolexia.se
Sweden,,Stockholm,Optolexia,Healthcare,Optolexia uses artificial intelligence to detect dyslexia in Swedish schoolchildren.,http://www.optolexia.se
Sweden,,,Monocl,Healthcare,Monocl is a life science strategy consulting and intelligence analytics firm; improving decision-making for executives and professionals. Monocl EGO is empowered by a machine-learning architecture currently based on source data from research publications; clinical trials; grant funding; industry payments and more.’_,http://monocl.com/
Switzerland,,Lausanne,Sophia Genetics,Healthcare,,http://www.sophiagenetics.com/home.html
Switzerland,,Manno,Eyra,Healthcare,,http://eyra.io/
Turkey,,Istanbul,Eteshis,Healthcare,,https://www.eteshis.com/
Turkey,,Istanbul,Sanal Hekim,Healthcare,,http://www.sanalhekim.com/
United Arab Emirates,Dubai,Dubai,Mosaikx,Healthcare,Mosaikx designs and develops public health-focused; application-specific software; and wearable hardware.,http://www.mosaikx.com
United Kingdom,England,Cambridge,Cambridge Cancer Genomics,Healthcare,Cambridge Cancer Genomics is an 18-month-old start-up backed by venture capital; with an award-winning history and international recognition from prestigious programs including Y combinator. We are transforming the way cancer patients are treated; through next generation liquid biopsies and smart genomics. Currently; cancer patients may wait months to know whether their chemotherapy is working.,http://www.cancergenomics.co.uk
United Kingdom,England,Cheshire,Molplex,Healthcare,Molplex discovers and develops treatments for cancer; infection; rare conditions and neglected diseases with the aim of improving the health and lives of patients worldwide. Molplex works with universities; institutes and companies to translate basic research into new treatments; and find the best molecules that can become new medicines more efficiently. This is done through a proprietary artificial intelligence platform for drug optimisation Optiplex; a pioneering predictive system that estimates the outcomes of clinical trials; coupled with automated laboratory operations for synthesis and screening.,http://www.molplex.com
United Kingdom,England,Cheshire,Molplex - Drug Discovery Technologies,Healthcare,Molplex discovers and develops treatments for cancer; infection; rare conditions and neglected diseases with the aim of improving the health and lives of patients worldwide. Molplex works with universities; institutes and companies to translate basic research into new treatments; and find the best molecules that can become new medicines more efficiently. This is done through a proprietary artificial intelligence platform for drug optimisation Optiplex; a pioneering predictive system that estimates the outcomes of clinical trials; coupled with automated laboratory operations for synthesis and screening.,http://www.molplex.com
United Kingdom,England,London,Drayson Technologies,Healthcare,Drayson Technologies is a rapidly growing electronic hardware and software company that brings together experts in wireless energy; mobile apps; massive data analytics; low energy IoT; advanced machine learning; sensors; cloud computing and social networks.,http://www.draysontechnologies.com
United Kingdom,England,London,GTN,Healthcare,GTN develops quantum physics and machine learning methods to advance drug discovery.,http://www.gtn.ai
United Kingdom,England,London,Transformative,Healthcare,Transformative enables predictive healthcare through deep learning.,http://www.transformative.ai
United Kingdom,England,London,Your.MD,Healthcare,Your.MD is a personalised Health Guide; that gives relevant and trusted health information to help you decide the best next steps to get better and keep healthy. You can use Your.MD whenever; wherever and always for free.,http://www.your.md
United Kingdom,,Edinburgh,snap40,Healthcare,,http://www.snap40.com/
United Kingdom,,London,CLINITHINK,Healthcare,CLINITHINK supplies server and cloud-based tools that convert free-form medical text into fully-structured data streams; which can be used by applications and analytical tools that demand structured inputs. Cinithink's Clix software uses natural language processing and proprietary post-processing algorithms to construct fully-coded ICD-9; ICD-10; and SNOMED strings.,http://www.clinithink.com
United Kingdom,,London,Deontics,Healthcare,,http://www.deontics.com
United Kingdom,,London,Fitwell,Healthcare,,https://www.fitwell.co/
United Kingdom,,London,InsideDNA,Healthcare,,https://www.insidedna.ai/
United Kingdom,,London,LabGenius,Healthcare,,http://www.labgeni.us/
United Kingdom,,London,Medopad,Healthcare,,http://www.medopad.com/
United Kingdom,,London,Synthase,Healthcare,,http://synthace.com/
United Kingdom,,London,White Lab,Healthcare,,https://www.wlab.io/
United States,California,Aliso Viejo,Sentrian,Healthcare,Sentrian; formerly Jointly Health; a Remote Patient Intelligence Company; aspires to eliminate all preventable hospitalization by leveraging the revolution in biosensors and machine learning to remotely detect patient deterioration before problems become acute. Sentrian's value proposition to healthcare organizations is to provide a cloud-based remote patient monitoring and analytics platform intended to dramatically reduce preventable hospital admissions; increase the efficiency and effectiveness of care teams and improve quality metrics such as HEDIS and Star ratings. The Sentrian platform is designed to seamlessly integrate with existing healthcare information systems and clinical workflows; facilitating adoption.,http://www.sentrian.com
United States,California,Berkeley,Angilytics,Healthcare,Advanced sensors and artificial intelligence for the management of cardiovascular diseases,https://www.angilytics.com/
